seed_term,family,kind,query,value,formatted_value
custom t shirts,soft_goods_cal,top,bulk custom t shirts,14,14
custom t shirts,soft_goods_cal,top,custom t shirts bulk,14,14
custom t shirts,soft_goods_cal,top,vintage custom t shirts,6,6
custom t shirts,soft_goods_cal,top,high quality custom t shirts,3,3
custom t shirts,soft_goods_cal,top,quick custom t shirts,3,3
custom t shirts,soft_goods_cal,top,custom t shirts nearby,3,3
custom t shirts,soft_goods_cal,top,local custom t shirts,3,3
custom t shirts,soft_goods_cal,top,custom t shirts with photo,3,3
custom t shirts,soft_goods_cal,top,printful,2,2
custom t shirts,soft_goods_cal,top,4imprint,1,1
custom t shirts,soft_goods_cal,rising,custom t shirts nearby,5750,Breakout
custom t shirts,soft_goods_cal,rising,vintage custom t shirts,170,+170%
custom t shirts,soft_goods_cal,rising,printful,150,+150%
custom t shirts,soft_goods_cal,rising,quick custom t shirts,140,+140%
custom t shirts,soft_goods_cal,rising,4imprint,120,+120%
custom t shirts,soft_goods_cal,rising,custom t shirts with photo,110,+110%
custom t shirts,soft_goods_cal,rising,high quality custom t shirts,90,+90%
custom t shirts,soft_goods_cal,rising,local custom t shirts,70,+70%
custom t shirts,soft_goods_cal,rising,bulk custom t shirts,70,+70%
custom t shirts,soft_goods_cal,rising,best custom t shirts,70,+70%
custom t shirts,soft_goods_cal,rising,custom t shirts bulk,60,+60%
custom embroidery,soft_goods_cal,top,custom embroidery near me,100,100
custom embroidery,soft_goods_cal,top,embroidery near me,96,96
custom embroidery,soft_goods_cal,top,custom hat,84,84
custom embroidery,soft_goods_cal,top,hat embroidery,84,84
custom embroidery,soft_goods_cal,top,custom hats,54,54
custom embroidery,soft_goods_cal,top,embroidery machine,51,51
custom embroidery,soft_goods_cal,top,custom embroidery machine,48,48
custom embroidery,soft_goods_cal,top,custom logo embroidery,48,48
custom embroidery,soft_goods_cal,top,embroidery patches custom,42,42
custom embroidery,soft_goods_cal,top,embroidery patches,41,41
custom embroidery,soft_goods_cal,top,custom patches,39,39
custom embroidery,soft_goods_cal,top,custom shirt embroidery,39,39
custom embroidery,soft_goods_cal,top,custom shirts,33,33
custom embroidery,soft_goods_cal,top,custom patch embroidery,27,27
custom embroidery,soft_goods_cal,top,custom patch,27,27
custom embroidery,soft_goods_cal,top,custom embroidery hoodie,19,19
custom embroidery,soft_goods_cal,top,custom hoodie,19,19
custom embroidery,soft_goods_cal,top,lids,18,18
custom embroidery,soft_goods_cal,top,lids embroidery,18,18
custom embroidery,soft_goods_cal,top,lids custom embroidery,18,18
custom embroidery,soft_goods_cal,top,custom embroidery designs,17,17
custom embroidery,soft_goods_cal,top,custom cap embroidery,15,15
custom embroidery,soft_goods_cal,top,custom embroidery online,12,12
custom embroidery,soft_goods_cal,top,custom embroidery services,10,10
custom embroidery,soft_goods_cal,top,custom pet embroidery,7,7
custom embroidery,soft_goods_cal,rising,custom pet embroidery,500,+500%
custom embroidery,soft_goods_cal,rising,custom embroidery digitizing services,200,+200%
custom embroidery,soft_goods_cal,rising,does lids do custom embroidery,110,+110%
custom embroidery,soft_goods_cal,rising,custom embroidery services,80,+80%
custom embroidery,soft_goods_cal,rising,custom embroidery hoodie,80,+80%
custom embroidery,soft_goods_cal,rising,custom hoodie,70,+70%
custom embroidery,soft_goods_cal,rising,custom embroidery digitizing,70,+70%
custom embroidery,soft_goods_cal,rising,custom cap embroidery,60,+60%
custom embroidery,soft_goods_cal,rising,custom embroidery salt lake city,50,+50%
