hs_code,hs_label,year,partner_code,partner,value_usd,net_weight_kg,is_aggregate
940330,Wooden furniture — office,2022,484,Mexico,55560674.0,12702251.648,False
940330,Wooden furniture — office,2022,70,Bosnia Herzegovina,8379.0,1915.603,False
940330,Wooden furniture — office,2022,616,Poland,4044110.0,924562.271,False
940330,Wooden furniture — office,2022,348,Hungary,103490.0,23659.829,False
940330,Wooden furniture — office,2022,620,Portugal,960137.0,219506.009,False
940330,Wooden furniture — office,2022,40,Austria,118880.0,27178.282,False
940330,Wooden furniture — office,2022,360,Indonesia,1858188.0,424817.949,False
940330,Wooden furniture — office,2022,764,Thailand,7921642.0,1811041.568,False
940330,Wooden furniture — office,2022,490,"Other Asia, nes",10969721.0,2507891.763,False
940330,Wooden furniture — office,2022,380,Italy,21230068.0,4853606.82,False
940330,Wooden furniture — office,2022,860,Uzbekistan,12905.0,2950.334,False
940330,Wooden furniture — office,2022,112,Belarus,7739.0,1769.286,False
940330,Wooden furniture — office,2022,218,Ecuador,95788.0,21899.001,False
940330,Wooden furniture — office,2022,458,Malaysia,54527803.0,12466117.231,False
940330,Wooden furniture — office,2022,203,Czechia,294387.0,67302.599,False
940330,Wooden furniture — office,2022,84,Belize,9279.0,2121.36,False
940330,Wooden furniture — office,2022,170,Colombia,2981134.0,681545.265,False
940330,Wooden furniture — office,2022,233,Estonia,1297800.0,296702.344,False
940330,Wooden furniture — office,2022,156,China,221767790.0,50700433.837,False
940330,Wooden furniture — office,2022,702,Singapore,288.0,65.842,False
940330,Wooden furniture — office,2022,757,Switzerland,1481577.0,338717.343,False
940330,Wooden furniture — office,2022,642,Romania,24731.0,5653.988,False
940330,Wooden furniture — office,2022,504,Morocco,6740.0,1540.895,False
940330,Wooden furniture — office,2022,36,Australia,860385.0,196700.76,False
940330,Wooden furniture — office,2022,0,World,941158193.0,215167083.977,True
940330,Wooden furniture — office,2022,703,Slovakia,3079225.0,703970.777,False
940330,Wooden furniture — office,2022,882,Samoa,80119.0,18316.763,False
940330,Wooden furniture — office,2022,705,Slovenia,173746.0,39721.718,False
940330,Wooden furniture — office,2022,51,Armenia,1859.0,425.004,False
940330,Wooden furniture — office,2022,604,Peru,7619.0,1741.852,False
940330,Wooden furniture — office,2022,608,Philippines,312051.0,71340.933,False
940330,Wooden furniture — office,2022,428,Latvia,460877.0,105365.454,False
940330,Wooden furniture — office,2022,400,Jordan,10352.0,2366.669,False
940330,Wooden furniture — office,2022,191,Croatia,14084.0,3219.877,False
940330,Wooden furniture — office,2022,686,Senegal,297.0,67.9,False
940330,Wooden furniture — office,2022,8,Albania,2628.0,600.812,False
940330,Wooden furniture — office,2022,300,Greece,46242.0,10571.821,False
940330,Wooden furniture — office,2023,0,World,838246904.0,169314298.151,True
940330,Wooden furniture — office,2023,710,South Africa,255297.0,51566.468,False
940330,Wooden furniture — office,2023,642,Romania,45928.0,9276.822,False
940330,Wooden furniture — office,2023,703,Slovakia,1483920.0,299731.347,False
940330,Wooden furniture — office,2023,705,Slovenia,93243.0,18833.798,False
940330,Wooden furniture — office,2023,100,Bulgaria,277617.0,56074.8,False
940330,Wooden furniture — office,2023,233,Estonia,3186155.0,643559.308,False
940330,Wooden furniture — office,2023,48,Bahrain,303829.0,61369.262,False
940330,Wooden furniture — office,2023,558,Nicaragua,249238.0,50342.634,False
940330,Wooden furniture — office,2023,300,Greece,33960.0,6859.451,False
940330,Wooden furniture — office,2023,320,Guatemala,39546.0,7987.746,False
940330,Wooden furniture — office,2023,340,Honduras,2854.0,576.469,False
940330,Wooden furniture — office,2023,116,Cambodia,991428.0,200254.764,False
940330,Wooden furniture — office,2023,132,Cabo Verde,14284.0,2885.171,False
940330,Wooden furniture — office,2023,170,Colombia,1668946.0,337104.043,False
940330,Wooden furniture — office,2023,188,Costa Rica,27747.0,5604.511,False
940330,Wooden furniture — office,2023,218,Ecuador,148990.0,30093.922,False
